product_name,review,source,Sentiment
Dyson Airwrap Multi-Styler,"if you’re a male reading this, please know this would be a perfect gift to your better half.",Amazon,POSITIVE
Dyson Airwrap Multi-Styler,Works good,Amazon,POSITIVE
Dyson Airwrap Multi-Styler,No issues till now.,Amazon,NEGATIVE
Dyson Airwrap Multi-Styler,"Great Product, I appreciate the technology , Deserve the Tag, No more words to say.....",Amazon,POSITIVE
Dyson Airwrap Multi-Styler,Feel Good,Amazon,POSITIVE
Dyson Airwrap Multi-Styler,"Ty,Paresh Shah",Amazon,NEGATIVE
Dyson Airwrap Multi-Styler,I love how versatile this styler is. It came with multiple attachments that work for different hair types. Really satisfied with my purchase.,Flipkart,POSITIVE
Dyson Airwrap Multi-Styler,"The price is steep, but after using it for a month, I think it's worth every penny.",Flipkart,POSITIVE
Dyson Airwrap Multi-Styler,"It took me some time to learn how to use it properly, but now I can style my hair in half the time. Really satisfied with my purchase.",Flipkart,POSITIVE
Dyson Airwrap Multi-Styler,"The build quality is excellent, definitely feels premium compared to other styling tools I've used.",Flipkart,POSITIVE
Dyson Airwrap Multi-Styler,My hair feels healthier since I started using this. Less heat damage than my old tools. Really satisfied with my purchase.,Flipkart,POSITIVE
Wireless Earphone Bluetooth,"Great battery life, I only need to charge once a week with my usage. Really satisfied with my purchase.",Amazon,POSITIVE
Wireless Earphone Bluetooth,The sound quality is decent for the price point. Bass could be better though.,Amazon,POSITIVE
Wireless Earphone Bluetooth,"Very comfortable for long listening sessions, doesn't hurt my ears. Really satisfied with my purchase.",Amazon,POSITIVE
Wireless Earphone Bluetooth,"Call quality is clear, and people can hear me well even in noisy environments.",Amazon,POSITIVE
Wireless Earphone Bluetooth,Easy to pair with my devices. Love the quick connection feature. Really satisfied with my purchase.,Amazon,POSITIVE
Wireless Earphone Bluetooth,"Great battery life, I only need to charge once a week with my usage. Really satisfied with my purchase.",Flipkart,POSITIVE
Wireless Earphone Bluetooth,The sound quality is decent for the price point. Bass could be better though.,Flipkart,POSITIVE
Wireless Earphone Bluetooth,"Very comfortable for long listening sessions, doesn't hurt my ears. Really satisfied with my purchase.",Flipkart,POSITIVE
Wireless Earphone Bluetooth,"Call quality is clear, and people can hear me well even in noisy environments.",Flipkart,POSITIVE
Wireless Earphone Bluetooth,Easy to pair with my devices. Love the quick connection feature. Really satisfied with my purchase.,Flipkart,POSITIVE
Set of serving Tray,I love this container set. Very useful for storing snacks as it is air tight.,Amazon,POSITIVE
Set of serving Tray,"I wanted airtight container, they solve the purpose. Very nice.value for money.v",Amazon,POSITIVE
Set of serving Tray,Very Nice and Useful product... quality is also nice,Amazon,POSITIVE
Set of serving Tray,"Liked the quality of plastic, looks good. Good size and each container can hold around 250 gram dry fruits. Keeps it fresh.",Amazon,POSITIVE
Set of serving Tray,2 of the transparent containers had scratches,Amazon,NEGATIVE
Set of serving Tray,"I loved them, beautiful and size good too but then no food grade certification marks anywhere on the plastic Airtight yes Easy to clean yes",Amazon,NEGATIVE
Set of serving Tray,Looks good compact and air tight,Amazon,POSITIVE
Set of serving Tray,The trays are sturdy and look more expensive than they are. Really satisfied with my purchase.,Flipkart,POSITIVE
Set of serving Tray,Perfect size for serving snacks during parties. Easy to clean too.,Flipkart,POSITIVE
Set of serving Tray,"I wish they were available in more colors, but the design is nice. Really satisfied with my purchase.",Flipkart,POSITIVE
Set of serving Tray,Good value for money. They stack nicely for storage.,Flipkart,POSITIVE
Set of serving Tray,The plastic quality is better than I expected. Not flimsy at all. Really satisfied with my purchase.,Flipkart,POSITIVE
Silicone Strap for Smart Watch,Fits my watch perfectly. The silicone feels soft and comfortable. Really satisfied with my purchase.,Amazon,POSITIVE
Silicone Strap for Smart Watch,Colors are exactly as shown in the pictures. I bought three different ones.,Amazon,POSITIVE
